date,sleep_min,wake_min,hrv,rhr,stress,activity
2025-01-01,10,-5,55,65,3,6500
2025-01-02,15,-6,56,64,3,7000
2025-01-03,5,-4,57,64,3,6800
2025-01-04,0,-5,58,63,2,7200
2025-01-05,10,-6,57,64,3,7500
2025-01-06,15,-5,58,63,2,8000
2025-01-07,5,-6,59,63,2,8200
2025-01-08,0,-5,60,63,2,8300
2025-01-09,-5,-4,61,62,2,8500
2025-01-10,-10,-3,62,62,3,9000
2025-01-11,-15,-3,63,61,2,9500
2025-01-12,-10,-4,62,62,3,9200
2025-01-13,-5,-5,61,63,3,8800
2025-01-14,0,-5,60,64,4,9000
2025-01-15,-10,-4,62,63,3,10000
2025-01-16,-15,-3,64,61,2,10500
2025-01-17,-20,-3,65,60,2,11000
2025-01-18,-15,-4,66,61,2,11500
2025-01-19,-10,-5,65,62,3,12000
2025-01-20,-5,-5,64,63,3,12500
2025-01-21,0,-6,63,64,4,13000
2025-01-22,10,-6,55,65,4,15000
2025-01-23,15,-5,56,64,3,15500
2025-01-24,10,-6,57,65,4,16000
2025-01-25,15,-5,58,64,3,16500
2025-01-26,10,-5,57,65,4,17000
2025-01-27,5,-6,58,64,3,17500
2025-01-28,0,-6,59,64,3,18000
2025-01-29,5,-5,60,64,3,9000
2025-01-30,0,-4,61,63,3,8500
2025-01-31,-5,-4,62,62,2,8000
2025-02-01,-10,-3,63,61,2,7500
2025-02-02,-5,-4,64,61,2,7000
2025-02-03,0,-5,64,61,2,6500
2025-02-04,5,-5,64,61,2,6000
2025-02-05,10,-5,65,60,2,6500
2025-02-06,15,-5,66,60,2,7000
2025-02-07,20,-4,67,59,1,7500
2025-02-08,15,-4,68,59,1,8000
2025-02-09,10,-5,69,58,1,8500
2025-02-10,5,-5,68,59,1,9000
2025-02-11,0,-5,67,60,2,9500
2025-02-12,0,-5,66,60,2,9000
2025-02-13,-5,-5,65,61,2,8800
2025-02-14,-10,-5,64,62,3,8500
2025-02-15,-5,-4,65,61,2,8700
2025-02-16,0,-4,66,60,2,9000
2025-02-17,5,-5,67,59,2,9200
2025-02-18,5,-5,68,59,2,9500
2025-02-19,5,-5,69,58,2,9500
2025-02-20,10,-5,70,58,2,9700
2025-02-21,10,-5,71,57,1,9800
2025-02-22,15,-5,72,57,1,10000
2025-02-23,10,-5,72,57,1,10000
2025-02-24,5,-5,71,58,2,9800
2025-02-25,5,-5,70,58,2,9500
