date,hrv,sleep,rhr,stress,circ_shift,actual_hrv_delta
2025-01-07, 0.0727273, -0.0833333, -0.0307692, -0.1, 0, 4.33333
2025-01-08, 0.0714286, -0.25, -0.015625, -0.1, 0, 3
2025-01-09, 0.0701754, -0.166667, -0.03125, -0.1, 0, 2
2025-01-10, 0.0689655, -0.166667, -0.015873, 0.1, 0, 2
2025-01-11, 0.105263, -0.416667, -0.046875, -0.1, 0, 2.66667
2025-01-12, 0.0689655, -0.416667, -0.015873, 0.1, 0, 3
2025-01-13, 0.0338983, -0.166667, 0, 0.1, 0, 3
2025-01-14, 0, 0, 0.015873, 0.2, 0, 3
2025-01-15, 0.0163934, -0.0833333, 0.016129, 0.1, 0, 3
2025-01-16, 0.0322581, -0.0833333, -0.016129, -0.1, 0, -0.333333
2025-01-17, 0.031746, -0.0833333, -0.0163934, 0, 0, -4
2025-01-18, 0.0645161, -0.0833333, -0.016129, -0.1, 0, -7.66667
2025-01-19, 0.0655738, -0.0833333, -0.015873, 0, 0, -8
2025-01-20, 0.0666667, -0.0833333, -0.015625, -0.1, 0, -8
2025-01-21, 0.016129, 0.166667, 0.015873, 0.1, 0, -7.33333
2025-01-22, -0.140625, 0.416667, 0.0655738, 0.2, 0, -6
2025-01-23, -0.138462, 0.583333, 0.0666667, 0.1, 0, -1.66667
2025-01-24, -0.136364, 0.416667, 0.0655738, 0.2, 0, 2
2025-01-25, -0.107692, 0.416667, 0.0322581, 0, 0, 5
2025-01-26, -0.109375, 0.25, 0.031746, 0.1, 0, 5
2025-01-27, -0.0793651, 0.0833333, 0, -0.1, 0, 5.66667
2025-01-28, 0.0727273, -0.166667, -0.0153846, -0.1, 0, 6
2025-01-29, 0.0714286, -0.166667, 0, 0, 0, 6
2025-01-30, 0.0701754, -0.166667, -0.0307692, -0.1, 0, 5.33333
2025-01-31, 0.0689655, -0.333333, -0.03125, -0.1, 0, 5
2025-02-01, 0.105263, -0.333333, -0.0615385, -0.2, 0, 5
2025-02-02, 0.103448, -0.166667, -0.046875, -0.1, 0, 5
2025-02-03, 0.0847458, 0, -0.046875, -0.1, 0, 5
2025-02-04, 0.0666667, 0, -0.046875, -0.1, 0, 4.66667
2025-02-05, 0.0655738, 0.166667, -0.047619, -0.1, 0, 4
2025-02-06, 0.0645161, 0.333333, -0.0322581, 0, 0, 2.66667
2025-02-07, 0.0634921, 0.5, -0.0327869, -0.1, 0, 1
2025-02-08, 0.0625, 0.333333, -0.0327869, -0.1, 0, -1
2025-02-09, 0.078125, 0.166667, -0.0491803, -0.1, 0, -2.33333
2025-02-10, 0.0625, 0, -0.0327869, -0.1, 0, -3
2025-02-11, 0.0307692, -0.166667, 0, 0, 0, -2.33333
2025-02-12, 0, -0.25, 0, 0, 0, -1
2025-02-13, -0.0298507, -0.416667, 0.0338983, 0.1, 0, 1
2025-02-14, -0.0588235, -0.416667, 0.0508475, 0.2, 0, 3
2025-02-15, -0.057971, -0.25, 0.0517241, 0.1, 0, 5
2025-02-16, -0.0294118, -0.0833333, 0.0169492, 0.1, 0, 6.33333
2025-02-17, 0, 0.0833333, -0.0166667, 0, 0, 6.66667
2025-02-18, 0.030303, 0.0833333, -0.0166667, 0, 0, 5.66667
